Stock,Buy Date,Duration,Sell Price,Return Rate
삼표시멘트,2003-05-28,1,51294,11.361021254423482
삼표시멘트,2006-01-20,1,27415,-11.427371413802016
탑코미디어,2016-09-23,1,4215,1.9347037484885126
위메이드,2021-08-17,8,32027,-16.027792343995806
대창스틸,2021-02-17,1,2615,-0.5703422053231939
제이엠아이,2021-05-13,1,1360,-1.4492753623188406
이랜시스,2022-03-21,1,3850,4.054054054054054
컴투스,2014-02-11,1,22369,1.208035471902995
웨이버스,2023-08-25,1,1901,1.984978540772532
디이엔티,2022-06-02,1,7496,-1.0690246799524878
코닉오토메이션,2022-11-01,1,4810,-4.940711462450593
서부T&D,2001-01-09,1,475,-6.31163708086785
서부T&D,2001-12-17,1,434,-3.125
서부T&D,2006-01-06,3,3296,-9.698630136986301
서부T&D,2006-02-20,1,3503,4.911650194669063
한스바이오메드,2015-03-16,1,19250,-0.516795865633075
한진중공업홀딩스,2020-11-12,1,4220,-0.7058823529411765
삼영엠텍,2015-03-19,49,3560,2.8901734104046244
삼영엠텍,2022-07-08,1,5260,-3.486238532110092
삼현철강,2005-01-20,1,1145,-3.7815126050420167
삼현철강,2009-03-24,1,3720,0.0
한국테크놀로지,2018-01-10,10,2303,-8.86426592797784
현대코퍼레이션,2003-06-19,1,25800,-4.617545935154719
티엘아이,2011-12-08,7,6200,-10.533910533910534
테크트랜스,2018-12-04,1,5000,-1.9607843137254901
케이씨티시,2001-10-15,1,427,-2.9545454545454546
케이씨티시,2005-11-16,1,1474,-7.120352867044738
깨끗한나라,2005-09-08,64,6142,25.01526562181966
동양철관,2008-02-13,2,1708,-7.825148407987048
동양철관,2010-04-29,1,1244,-1.1128775834658187
엑사이엔씨,2009-10-14,1,8965,-2.850021673168617
엑사이엔씨,2023-01-11,1,1480,1.718213058419244
조아제약,2004-10-21,2,925,-8.506429277942631
조아제약,2010-10-04,1,3430,-0.8670520231213872
한진,2014-08-18,1,34139,-0.6923233557320301
국일신동,2018-11-07,12,3990,-10.738255033557047
카스,2001-08-02,1,2609,-11.798512508451656
카스,2005-09-02,70,1925,45.5026455026455
카스,2019-03-27,3,1885,-8.495145631067961
상상인,2010-04-26,3,1463,-7.1700507614213205
싸이토젠,2024-01-31,1,14070,-0.9852216748768473
진양산업,2021-07-28,13,5650,-11.856474258970358
지니뮤직,2004-03-29,63,6780,60.09445100354191
지니뮤직,2004-04-28,43,6780,28.89733840304182
동아쏘시오홀딩스,2000-08-18,1,12181,-2.1920668058455117
동아쏘시오홀딩스,2005-08-18,1,30485,0.3291097581043278
한화투자증권,2018-03-16,1,3130,-2.7950310559006213
부방,2009-03-23,1,411,-6.802721088435375
부방,2009-08-04,4,491,-3.9138943248532287
부방,2015-06-24,51,6240,-13.800248653128886
YG PLUS,2007-08-24,26,2840,-8.239095315024231
신도기연,2023-01-16,1,6060,-3.349282296650718
새로닉스,2005-03-10,3,1480,-5.7324840764331215
새로닉스,2017-11-06,1,7100,5.185185185185185
더라미,2001-03-30,1,49469092,-1.9435163672694413
남해화학,2010-09-30,1,17900,0.0
남해화학,2013-07-04,20,7570,-6.888068880688807
알에프텍,2004-11-16,1,3146,0.0
알에프텍,2007-05-29,28,2419,-0.6978653530377669
알에프텍,2010-03-09,24,4087,-10.156078258958011
알에프텍,2014-12-30,68,5729,22.99270072992701
프레스티지바이오파마,2023-01-18,1,8250,-0.9603841536614646
스카이문스테크놀로지,2007-02-21,1,6690,-0.8888888888888888
스카이문스테크놀로지,2011-09-05,1,2300,-8.73015873015873
에이펙스인텍,2019-07-26,2,11250,-16.666666666666664
에이펙스인텍,2021-02-05,19,8860,-19.454545454545453
에이펙스인텍,2022-12-02,1,7650,-14.905450500556173
신성델타테크,2021-09-03,19,15250,-15.745856353591158
큐러블,2014-07-14,1,3600,-5.263157894736842
큐러블,2020-04-08,1,3075,14.100185528756956
큐러블,2022-09-21,3,8850,-7.03781512605042
큐러블,2023-04-21,3,7100,-15.676959619952493
서호전기,2019-06-11,1,22200,-2.631578947368421
EMB,2021-04-26,2,5800,-8.227848101265822
넥슨게임즈,2020-06-24,1,7880,-1.6229712858926344
코스모신소재,2013-04-25,1,3993,-0.37425149700598803
코스모신소재,2022-10-20,1,60949,-2.8345050775583083
HB테크놀러지,2006-11-28,9,3850,-8.1145584725537
HB테크놀러지,2009-03-24,1,550,0.0
HB테크놀러지,2013-10-04,1,1845,2.5
블루탑,2019-11-06,1,38400,-2.9077117572692797
SHD,2000-08-09,1,5197,-3.7948907811921515
아우딘퓨쳐스,2022-12-13,24,2750,-11.43317230273752
대호특수강,2010-03-11,17,10950,-7.281964436917867
메타랩스,2010-12-27,1,89855,-3.2516823687752354
아미노로직스,2007-06-15,2,4745,-14.673619852544507
광무,2019-06-21,7,6025,-10.141685309470544
웅진씽크빅,2020-01-02,1,2699,-3.881766381766382
영풍,2003-06-23,1,46600,-0.4273504273504274
영풍,2008-04-18,36,440000,-3.7199124726477026
와이엔텍,2007-11-28,1,5615,-12.11457192048834
와이엔텍,2019-05-23,1,8090,-3.1137724550898205
녹십자,2000-05-08,1,25447,-1.4293461419274869
녹십자,2001-08-01,29,27431,-9.843554854400843
진매트릭스,2012-02-16,12,1713,-8.493589743589745
동화약품,2000-03-28,4,2798,-12.343358395989974
삼화콘덴서공업,2006-02-14,1,2050,-5.963302752293578
삼화콘덴서공업,2007-05-28,7,3780,-5.025125628140704
종근당홀딩스,2003-11-18,1,2128,-2.8753993610223643
종근당홀딩스,2008-04-22,1,15072,1.4198236996164457
보해양조,2004-03-22,1,471,0.8565310492505354
보해양조,2004-10-08,1,525,-3.4926470588235294
유니슨,2004-07-07,1,2669,-8.938928693278744
유니슨,2005-08-01,12,6931,-8.802631578947368
SCI평가정보,2003-01-28,1,1754,-10.601427115188583
SCI평가정보,2006-01-16,1,795,3.9215686274509802
비트컴퓨터,2009-09-18,7,3380,-11.448781765784648
비트컴퓨터,2011-12-12,3,3239,-8.399321266968327
비트컴퓨터,2021-06-01,1,10000,-0.4975124378109453
