Stock,Date
시알홀딩스,2023-06-16
THE MIDONG,2015-04-13
THE MIDONG,2019-04-05
THE MIDONG,2023-04-04
대한뉴팜,2017-10-16
흥구석유,2011-12-23
우진,2022-05-04
KBI메탈,2004-05-11
코이즈,2020-12-21
인터플렉스,2003-08-11
인터플렉스,2009-10-28
부산주공,2006-01-24
테크엘,2005-08-23
썬테크,2017-09-29
썬테크,2019-03-13
GS건설,2021-06-02
데이터스트림즈,2019-07-16
삼부토건,2004-09-17
삼부토건,2018-04-20
한독,2003-06-10
아진산업,2020-09-15
바이오솔루션,2022-09-16
HJ중공업,2014-04-01
인선이엔티,2011-08-19
금호타이어,2007-08-30
세화피앤씨,2018-11-08
세화피앤씨,2019-04-08
퍼스텍,2019-11-05
로보로보,2017-12-27
현대에이치티,2001-07-09
현대에이치티,2011-08-18
현대에이치티,2011-10-18
엄지하우스,2022-11-22
CBI,2000-04-25
CBI,2001-04-26
화승인더스트리,2002-05-09
화승인더스트리,2016-02-29
대원제약,2000-11-16
HD현대일렉트릭,2020-07-13
코미코,2019-04-04
드림씨아이에스,2023-08-03
디젠스,2015-12-18
현우산업,2009-06-26
영보화학,2002-01-04
데브시스터즈,2021-05-31
데브시스터즈,2021-11-12
디앤씨미디어,2018-01-08
이니텍,2005-05-23
이니텍,2011-08-18
아이쓰리시스템,2022-02-10
질경이,2018-08-27
메디콕스,2003-01-14
메디콕스,2007-03-09
메디콕스,2016-01-21
까뮤이앤씨,2009-06-30
까뮤이앤씨,2013-03-12
광림,2021-01-15
삼표시멘트,2003-05-28
삼표시멘트,2006-01-20
탑코미디어,2016-09-23
위메이드,2021-08-17
대창스틸,2021-02-17
제이엠아이,2021-05-13
이랜시스,2022-03-21
컴투스,2014-02-11
웨이버스,2023-08-25
디이엔티,2022-06-02
코닉오토메이션,2022-11-01
서부T&D,2001-01-09
서부T&D,2001-12-17
서부T&D,2006-01-06
서부T&D,2006-02-20
한스바이오메드,2015-03-16
한진중공업홀딩스,2020-11-12
삼영엠텍,2015-03-19
삼영엠텍,2022-07-08
삼현철강,2005-01-20
삼현철강,2009-03-24
한국테크놀로지,2018-01-10
현대코퍼레이션,2003-06-19
티엘아이,2011-12-08
테크트랜스,2018-12-04
케이씨티시,2001-10-15
케이씨티시,2005-11-16
깨끗한나라,2005-09-08
동양철관,2008-02-13
동양철관,2010-04-29
엑사이엔씨,2009-10-14
엑사이엔씨,2023-01-11
조아제약,2004-10-21
조아제약,2010-10-04
한진,2014-08-18
국일신동,2018-11-07
카스,2001-08-02
카스,2005-09-02
카스,2019-03-27
상상인,2010-04-26
싸이토젠,2024-01-31
진양산업,2021-07-28
지니뮤직,2004-03-29
지니뮤직,2004-04-28
동아쏘시오홀딩스,2000-08-18
동아쏘시오홀딩스,2005-08-18
한화투자증권,2018-03-16
부방,2009-03-23
부방,2009-08-04
부방,2015-06-24
YG PLUS,2007-08-24
신도기연,2023-01-16
새로닉스,2005-03-10
새로닉스,2017-11-06
더라미,2001-03-30
남해화학,2010-09-30
남해화학,2013-07-04
알에프텍,2004-11-16
알에프텍,2007-05-29
알에프텍,2010-03-09
알에프텍,2014-12-30
프레스티지바이오파마,2023-01-18
스카이문스테크놀로지,2007-02-21
스카이문스테크놀로지,2011-09-05
에이펙스인텍,2019-07-26
에이펙스인텍,2021-02-05
에이펙스인텍,2022-12-02
신성델타테크,2021-09-03
큐러블,2014-07-14
큐러블,2020-04-08
큐러블,2022-09-21
큐러블,2023-04-21
서호전기,2019-06-11
EMB,2021-04-26
넥슨게임즈,2020-06-24
코스모신소재,2013-04-25
코스모신소재,2022-10-20
HB테크놀러지,2006-11-28
HB테크놀러지,2009-03-24
HB테크놀러지,2013-10-04
블루탑,2019-11-06
SHD,2000-08-09
아우딘퓨쳐스,2022-12-13
대호특수강,2010-03-11
메타랩스,2010-12-27
아미노로직스,2007-06-15
광무,2019-06-21
웅진씽크빅,2020-01-02
영풍,2003-06-23
영풍,2008-04-18
와이엔텍,2007-11-28
와이엔텍,2019-05-23
녹십자,2000-05-08
녹십자,2001-08-01
진매트릭스,2012-02-16
동화약품,2000-03-28
삼화콘덴서공업,2006-02-14
삼화콘덴서공업,2007-05-28
종근당홀딩스,2003-11-18
종근당홀딩스,2008-04-22
보해양조,2004-03-22
보해양조,2004-10-08
유니슨,2004-07-07
유니슨,2005-08-01
SCI평가정보,2003-01-28
SCI평가정보,2006-01-16
비트컴퓨터,2009-09-18
비트컴퓨터,2011-12-12
비트컴퓨터,2021-06-01
심텍홀딩스,2008-12-11
심텍홀딩스,2010-06-22
이건산업,2015-05-21
유화증권,2002-10-21
대창솔루션,2013-09-23
대창솔루션,2019-11-04
에스폴리텍,2020-08-31
알로이스,2020-06-24
진양제약,2015-06-25
진양제약,2021-08-24
안트로젠,2018-05-30
PN풍년,2005-04-14
PN풍년,2009-07-14
코맥스,2003-06-17
코맥스,2009-06-29
제닉,2018-01-19
한솔테크닉스,2019-07-25
셀루메드,2018-01-02
DGP,2005-12-28
DGP,2013-10-31
이브이파킹서비스,2023-10-13
선도전기,2007-08-09
선도전기,2009-12-04
선도전기,2011-09-05
SG세계물산,2001-08-07
SG세계물산,2015-11-24
진도,2007-06-15
진도,2009-01-23
진도,2020-08-07
하이트론씨스템즈,2011-07-07
하이트론씨스템즈,2015-11-26
금호석유화학,2007-08-30
서플러스글로벌,2022-02-08
이랜텍,2010-05-17
이랜텍,2021-12-28
중앙백신,2016-11-10
중앙백신,2019-04-08
기업은행,2011-05-25
파마리서치바이오,2017-02-14
네오리진,2015-06-12
프리엠스,2003-09-09
프리엠스,2017-10-30
세운메디칼,2011-12-13
삼익THK,2009-09-23
삼익THK,2011-07-06
삼익THK,2014-11-10
한세실업,2012-02-06
한세실업,2015-10-06
SNT모티브,2020-07-13
노드메이슨,2022-09-21
