Stock,Buy Date,Buy Price,Sell Price,Return Rate
황금에스티,2020-07-13,5036,4970,-1.3105639396346307
브리지텍,2024-02-16,8300,8070,-2.7710843373493974
KH 필룩스,2009-03-09,15390,19020,23.586744639376217
동국S&C,2013-11-07,4515,4145,-8.194905869324474
동국S&C,2022-03-02,6150,6230,1.3008130081300813
YTN,2009-06-24,4780,4690,-1.882845188284519
코렌텍,2014-04-03,24039,22790,-5.195723615791007
이비테크,2018-04-13,4370,4750,8.695652173913043
원익홀딩스,2009-05-18,1519,1360,-10.467412771560237
동원수산,2019-11-06,9500,9580,0.8421052631578947
에코프로,2014-05-29,1028,1071,4.182879377431906
옵티팜,2022-02-28,10900,9730,-10.733944954128441
DB손해보험,2018-09-27,71500,68100,-4.755244755244755
제이에스티나,2014-12-03,19500,17000,-12.82051282051282
엔피,2023-01-17,6350,6150,-3.149606299212598
유진로봇,2002-02-26,8914,8526,-4.352703612295266
대현,2001-04-17,405,415,2.4691358024691357
대현,2016-04-19,3695,3435,-7.036535859269283
HLB테라퓨틱스,2017-12-28,16549,18054,9.09420508792072
HLB테라퓨틱스,2021-12-08,7522,6887,-8.441903749002924
대림비앤코,2002-10-15,2055,1994,-2.9683698296836982
SBS,2011-09-05,33000,33500,1.5151515151515151
국영지앤엠,2011-12-23,1470,1490,1.3605442176870748
국영지앤엠,2018-06-26,1895,1840,-2.9023746701846966
LX인터내셔널,2002-01-28,5261,5274,0.24710131153773046
웰크론한텍,2011-08-17,2490,2255,-9.437751004016064
DSR,2020-07-13,3975,3985,0.25157232704402516
롯데이노베이트,2023-04-18,30900,31500,1.9417475728155338
재영솔루텍,2015-02-27,1509,1638,8.548707753479125
JW중외제약,2020-07-24,35562,34032,-4.302345199932512
남성,2000-08-14,610,701,14.918032786885247
태양,2004-05-24,3000,3090,3.0
샘표,2018-07-09,48350,43200,-10.651499482936918
샘표,2019-04-04,37000,36950,-0.13513513513513514
SK케미칼,2021-10-08,200494,186000,-7.229144014284716
피에스텍,2020-12-21,4775,4400,-7.853403141361256
MIT,2013-04-15,50284,47844,-4.852438151300612
코오롱인더,2010-10-25,67988,70700,3.9889392245690414
조광ILI,2018-06-07,1170,1097,-6.239316239316239
대원미디어,2010-10-21,10100,9750,-3.4653465346534658
대원미디어,2012-11-23,10850,11250,3.686635944700461
대원미디어,2015-05-19,8370,8380,0.11947431302270012
대원미디어,2018-11-12,9570,9370,-2.089864158829676
아이크래프트,2006-11-02,1471,1493,1.495581237253569
아이크래프트,2015-08-05,9101,9018,-0.9119876936600374
아이크래프트,2024-01-05,3910,4000,2.3017902813299234
휴온스,2022-02-08,47000,48700,3.6170212765957444
DH오토웨어,2005-11-03,15750,16900,7.301587301587302
DH오토웨어,2012-04-30,4325,4970,14.913294797687863
삼성출판사,2011-10-13,6300,6360,0.9523809523809524
삼성출판사,2016-10-10,13500,12450,-7.777777777777778
SPC삼립,2001-10-10,37257,32457,-12.883484982687818
보성파워텍,2009-02-16,1046,951,-9.082217973231357
보성파워텍,2009-03-16,1085,1102,1.566820276497696
보성파워텍,2011-12-22,2164,2496,15.341959334565619
보성파워텍,2019-11-05,2210,2035,-7.918552036199094
동원산업,2005-02-07,2740,2780,1.4598540145985401
동원산업,2007-03-27,8250,8190,-0.7272727272727273
푸드웰,2005-09-02,739,804,8.795669824086604
LIG넥스원,2016-07-22,99300,101500,2.2155085599194364
삼진제약,2000-05-09,25789,26052,1.0198146496568303
엠투엔,2000-12-08,3874,3591,-7.305110996386165
티에이치엔,2009-09-08,1130,1295,14.601769911504425
티에이치엔,2015-12-29,1850,1835,-0.8108108108108109
대명소노시즌,2006-02-07,5140,5140,0.0
대명소노시즌,2009-07-27,1155,1140,-1.2987012987012987
KG케미칼,2008-04-15,2230,2280,2.242152466367713
성호전자,2009-06-25,1935,1740,-10.077519379844961
성호전자,2010-12-10,1960,2075,5.86734693877551
제이엠티,2011-05-30,2020,1945,-3.7128712871287126
위메이드플레이,2014-09-12,60178,63549,5.601714912426468
브이원텍,2021-03-09,12050,10800,-10.37344398340249
LG화학,2002-08-26,62293,62436,0.22956030372594033
LG화학,2022-07-22,561000,556000,-0.8912655971479502
쇼박스,2020-09-15,2820,2815,-0.1773049645390071
링크제니시스,2020-12-21,7330,7540,2.8649386084583903
한국금융지주,2004-02-13,6900,6910,0.14492753623188406
한국금융지주,2018-03-12,86200,78500,-8.932714617169374
아이윈플러스,2020-07-20,6385,5925,-7.204385277995301
앤씨앤,2017-02-20,6154,6074,-1.2999675008124796
디오,2012-01-06,8520,8640,1.4084507042253522
삼영전자공업,2000-05-09,11800,11550,-2.11864406779661
휴스틸,2005-04-21,2694,2549,-5.382331106161841
에스바이오메딕스,2024-02-14,9980,10050,0.7014028056112225
가온전선,2002-01-28,6148,5590,-9.07612231620039
HDC,2003-06-26,6171,6052,-1.9283746556473829
시알홀딩스,2023-06-16,11030,10570,-4.170444242973708
THE MIDONG,2015-04-13,5670,5570,-1.763668430335097
